language,difficulty,title,question_text,code_snippet,option_a,option_b,option_c,option_d,correct_option,explanation
C,Easy,Post-Increment Output,What is the output of the following C code?,"int x = 5;\nprintf(""%d"", x++);",4,5,6,Error,B,"x++ evaluates to 5 before incrementing."
C,Easy,Standard I/O Header,Which header file is required for printf()?,stdlib.h,string.h,stdio.h,math.h,C,"stdio.h contains declaration for printf()."
C,Easy,Array Indexing,What is the index of the first element of an array in C?,0,1,-1,Depends on the array,A,"C arrays are 0-indexed."
C,Easy,Logical AND Operator,Which operator is used for logical AND?,&,&&,||,!,B,"&& is logical AND in C."
C,Easy,Constant Declaration Keyword,Which keyword is used to declare a constant variable?,constant,static,const,fixed,C,"const creates read-only variables."
C++,Easy,Standard Output Stream,Which stream is commonly used for output in C++?,cin,cout,print,output,B,"std::cout is the standard output stream."
C++,Easy,Stream Insertion Operator,Which operator is used with cout?,>>,<<,<>,&&,B,"<< is the insertion operator."
C++,Easy,Class Definition Keyword,Which keyword is used to define a class?,object,class,define,structure,B,"class declares a user-defined type."
C++,Easy,Default Class Access Specifier,What is the default access specifier of a C++ class?,Public,Protected,Private,Internal,C,"Class members are private by default."
Java,Easy,Object Instantiation Keyword,Which keyword is used to create an object in Java?,create,object,new,malloc,C,"The new operator instantiates a class."
Java,Easy,Application Entry Point,Which method is the entry point of a standard Java application?,start(),run(),main(),execute(),C,"main() is the standard entry point method."
Java,Easy,Class Inheritance Keyword,Which keyword is used for class inheritance in Java?,inherit,extends,implements,super,B,"extends is used for class inheritance."
Python,Easy,Single-Line Comment Symbol,Which symbol is used for a single-line comment in Python?,//,#,/*,--,B,"Python uses # for single-line comments."
Python,Easy,Output Display Function,Which function is used to display output?,display(),echo(),print(),printf(),C,"print() is the standard output function."
Python,Easy,Function Definition Keyword,Which keyword is used to define a function?,function,func,def,define,C,"def begins a function definition in Python."
HTML,Easy,HTML Full Form,What does HTML stand for?,Hyper Text Markup Language,High Text Machine Language,Hyperlink Text Management Language,Home Tool Markup Language,A,"HTML stands for HyperText Markup Language."
HTML,Easy,Largest Heading Tag,Which tag is used for the largest heading?,<heading>,<h6>,<h1>,<head>,C,"<h1> specifies the highest level heading."
HTML,Easy,Hyperlink Tag,Which tag is used to create a hyperlink?,<link>,<a>,<href>,<url>,B,"<a> defines hyperlinks."
HTML,Easy,Image Tag,Which tag is used to insert an image?,<image>,<picture>,<img>,<src>,C,"<img> embeds an image."
HTML,Easy,Paragraph Tag,Which tag is used for a paragraph?,<para>,<text>,<p>,<paragraph>,C,"<p> defines a paragraph."
